dt,Connor,Anthony,Jake,Ed/Blake ,Bob,Ryan,Nathan,Scott,Tom,Holden,Jonathon,Youngkin,Jackson
1900-03-01,-8.5,-12.25,-4.75,-4.75,-9.25,-8.25,-4.75,-9.25,-6.5,-5.0,-1.0,-5.25,-11.25
1900-04-01,-5.233333333333333,-12.466666666666667,-2.533333333333333,-10.533333333333333,-6.966666666666667,-10.433333333333334,-3.7666666666666666,-7.2,-6.733333333333333,-2.2,-6.966666666666667,-4.033333333333333,-11.166666666666666
1900-05-01,-8.709677419354838,-9.258064516129032,-5.290322580645161,-12.290322580645162,-7.806451612903226,-10.483870967741936,-2.6774193548387095,-5.548387096774194,-8.193548387096774,-1.2903225806451613,-4.193548387096774,-2.3225806451612905,-12.67741935483871
1900-06-01,-8.5,-11.966666666666667,-5.0,-11.933333333333334,-8.366666666666667,-7.933333333333334,-3.533333333333333,-6.033333333333333,-8.833333333333334,-1.0,-2.033333333333333,-3.533333333333333,-12.066666666666666
1900-07-01,-7.612903225806452,-12.774193548387096,-4.806451612903226,-12.096774193548388,-7.483870967741935,-6.419354838709677,-2.225806451612903,-8.419354838709678,-10.516129032258064,-1.1612903225806452,-2.7419354838709675,-3.967741935483871,-10.548387096774194
1900-08-01,-7.32258064516129,-12.258064516129032,-5.483870967741935,-12.67741935483871,-5.709677419354839,-7.580645161290323,-1.7096774193548387,-9.483870967741936,-9.193548387096774,-1.2580645161290323,-3.0,-4.0,-10.903225806451612
1900-09-01,-6.241379310344827,-12.172413793103448,-5.827586206896552,-12.724137931034482,-7.689655172413793,-10.586206896551724,-2.0,-6.413793103448276,-9.517241379310345,-1.0,-3.0,-3.9655172413793105,-9.379310344827585
